t,x,y,z,phi,theta,psi,u,v,w,p,q,r,u1,u2,u3,u4,u5,u6
3.999921,-0.1215125,0.1737904,-0.01525979,-0.011868238913561443,-0.017627825445142728,0.1806415775814131,-0.005555377,-0.008467539,0.04913019,-7.805400394245221e-05,-0.00018121247477974044,0.0003256604615308464,80.0,80.0,80.0,80.0,80.0,80.0
4.100081,-0.1183217,0.1710783,-0.02000704,-0.012042771838760872,-0.017627825445142728,0.1806415775814131,-0.004137869,-0.009768617,0.04697635,-0.0005445678593634595,-0.0001453286449850772,-0.0006100224187022273,80.0,80.0,80.0,80.0,80.0,80.0
4.199887,-0.1148198,0.1684274,-0.0266128,-0.012042771838760872,-0.017627825445142728,0.1806415775814131,-0.00283969,-0.0107216,0.04425069,0.0004076335150421892,-3.149769521135386e-06,0.0006496288263518842,80.0,80.0,80.0,80.0,80.0,80.0
4.300046,-0.1124387,0.1662807,-0.02981745,-0.012042771838760872,-0.017627825445142728,0.1806415775814131,-0.001891254,-0.01107423,0.0423021,-0.0005071836049174418,-0.00023288172555455618,-0.0004776613606199577,80.0,80.0,80.0,80.0,80.0,80.0
4.39993,-0.1090625,0.1651273,-0.03291967,-0.012042771838760872,-0.017627825445142728,0.1806415775814131,-0.0008277413,-0.01139292,0.0406029,-0.00020527218758433264,4.3961161213015446e-05,4.676307788758211e-05,80.0,80.0,80.0,80.0,80.0,80.0
4.500094,-0.1067208,0.1641276,-0.03484698,-0.011868238913561443,-0.017627825445142728,0.1806415775814131,5.479409e-05,-0.01152089,0.03930576,0.0006753528851311783,0.00017918789284742702,0.0004922823328297645,80.0,80.0,80.0,80.0,80.0,80.0
4.599892,-0.1042123,0.1642632,-0.03317171,-0.011868238913561443,-0.017627825445142728,0.1806415775814131,-0.0001153551,-0.01022748,0.03915472,-0.0002516052687041009,-0.0002278815317805176,-0.0003352253894305508,80.0,80.0,80.0,80.0,80.0,80.0
4.699962,-0.10255,0.1643606,-0.03372484,-0.011868238913561443,-0.017627825445142728,0.1806415775814131,0.0004392046,-0.009441087,0.03914214,-0.0004257859864604814,0.00018909630154392406,-4.5101803692363834e-05,80.0,80.0,80.0,80.0,80.0,80.0
4.800021,-0.09908057,0.1663564,-0.03590766,-0.011868238913561443,-0.017627825445142728,0.1806415775814131,0.001754044,-0.007488846,0.03805488,6.91599806072143e-05,-0.0001823678827445607,0.00043925381963349575,80.0,80.0,80.0,80.0,80.0,80.0
4.900054,-0.0958959,0.1685535,-0.03849361,-0.011693705988362009,-0.017627825445142728,0.1806415775814131,0.00275366,-0.005490698,0.03740489,0.00039411157666236315,-0.0004969233378437428,0.00036059514637169006,80.0,80.0,80.0,80.0,80.0,80.0
4.999998,-0.0925144,0.1715789,-0.03786623,-0.011693705988362009,-0.01780235837034216,0.1806415775814131,0.003888186,-0.003066699,0.03744857,-0.0006979159781021852,3.1390828701254255e-05,0.0002186232582303885,80.0,80.0,80.0,80.0,80.0,80.0
5.100038,-0.0900569,0.1740622,-0.03676706,-0.011693705988362009,-0.01780235837034216,0.1806415775814131,0.004723776,-0.001048631,0.0376645,7.799907843089195e-05,-0.0006466722385990058,-0.00011889123523390805,80.0,80.0,80.0,80.0,80.0,80.0
5.199897,-0.08784979,0.1750625,-0.03424969,-0.011693705988362009,-0.01780235837034216,0.1806415775814131,0.004593648,-0.0002671099,0.03825388,0.0007939368376969802,0.0003090639511407071,6.415833820989659e-05,80.0,80.0,80.0,80.0,80.0,80.0
5.300145,-0.08619197,0.175609,-0.03389991,-0.011693705988362009,-0.01780235837034216,0.18081611050661253,0.004337966,9.351945e-05,0.03863163,0.0003795373792765097,0.00048137524673527645,0.0004959625340905198,80.0,80.0,80.0,80.0,80.0,80.0
5.399977,-0.08325793,0.1761104,-0.03325441,-0.011693705988362009,-0.01780235837034216,0.1806415775814131,0.005420957,0.0009175678,0.03864104,-0.00031860584069428525,0.0002819476432170972,-0.00036617269506228833,80.0,80.0,80.0,80.0,80.0,80.0
5.500061,-0.0810895,0.1766116,-0.03317462,-0.011693705988362009,-0.01780235837034216,0.18081611050661253,0.005912527,0.001151785,0.03892789,0.0003148172544869812,-0.0003814431042867623,0.00015037077902104118,80.0,80.0,80.0,80.0,80.0,80.0
5.599943,-0.07932333,0.1775448,-0.03368136,-0.011519173063162576,-0.01780235837034216,0.18081611050661253,0.005390971,0.002224514,0.03822601,0.00020778423997672813,-9.43626048191825e-05,-0.0001860850849854582,80.0,80.0,80.0,80.0,80.0,80.0
5.699924,-0.07814673,0.1784033,-0.03396565,-0.011519173063162576,-0.01780235837034216,0.18081611050661253,0.004540689,0.00258137,0.03769702,-9.61913084495446e-05,-1.3579090931511874e-05,0.000447342198986013,80.0,80.0,80.0,80.0,80.0,80.0
5.800015,-0.07747254,0.1764688,-0.03304332,-0.011519173063162576,-0.01780235837034216,0.18081611050661253,0.004018898,0.0015376,0.0377179,0.0001812857786083242,8.016745804027718e-05,0.00013549968367613095,80.0,80.0,80.0,80.0,80.0,80.0
5.900056,-0.07716358,0.1741988,-0.03239349,-0.011519173063162576,-0.01780235837034216,0.18081611050661253,0.003261436,0.0002507192,0.03752623,0.0006836665864901279,-0.0005569108278335635,-0.000306981075211377,80.0,80.0,80.0,80.0,80.0,80.0
5.999918,-0.07793543,0.1719924,-0.02993366,-0.011693705988362009,-0.017627825445142728,0.18081611050661253,0.001699772,-0.000844956,0.03821839,-0.0006275169009925176,-0.0005612053849910207,-0.0002478182532931237,80.0,80.0,80.0,80.0,80.0,80.0
6.100056,-0.07882595,0.1702978,-0.02836288,-0.011693705988362009,-0.017627825445142728,0.18081611050661253,0.0006621568,-0.001447373,0.03836191,-0.0002359468727869086,-0.00022307000809861964,0.00020817885892060405,80.0,80.0,80.0,80.0,80.0,80.0
6.199932,-0.07648487,0.1683743,-0.02473046,-0.011693705988362009,-0.017627825445142728,0.18081611050661253,0.0005191392,-0.001861115,0.03982392,0.0013307838840483923,0.0005530489377976756,-0.00015809951582789253,80.0,80.0,80.0,80.0,80.0,80.0
6.300103,-0.07483206,0.1669538,-0.02303125,-0.011693705988362009,-0.017627825445142728,0.18081611050661253,0.0009407581,-0.001777963,0.04032532,0.00017075901721113815,0.00024453563803597273,0.0003540163022892226,80.0,80.0,80.0,80.0,80.0,80.0
6.399954,-0.07403375,0.1659365,-0.019732,-0.011693705988362009,-0.01780235837034216,0.18081611050661253,0.0006015863,-0.001979611,0.04130452,-0.00037762729094312713,-0.0005063931452992135,0.00013702305940714918,80.0,80.0,80.0,80.0,80.0,80.0
6.500096,-0.07366639,0.1652157,-0.0160698,-0.011519173063162576,-0.01780235837034216,0.18081611050661253,0.0004154297,-0.001928194,0.0419626,0.0004103953240505451,-0.0008502371451090376,0.00032572311885099294,80.0,80.0,80.0,80.0,80.0,80.0
6.599905,-0.07357723,0.1655581,-0.008987898,-0.011519173063162576,-0.017627825445142728,0.18081611050661253,-0.0008638665,-0.0008850147,0.04407049,0.0001273812323006018,-0.0002635949825336012,-5.155254060773487e-05,80.0,80.0,80.0,80.0,80.0,80.0
6.69994,-0.07380236,0.1659777,-0.002853353,-0.011519173063162576,-0.017627825445142728,0.18081611050661253,-0.002110698,-6.18116e-05,0.04535148,9.470559692378442e-05,0.00031169049713203334,-0.00040146429973516483,80.0,80.0,80.0,80.0,80.0,80.0
